id,age,gender,experience,case_type,question_number,n_words,is_correct_answer,time,device
29,21,male,1-3,kebab,2,4,TRUE,7635,Trackpad
29,21,male,1-3,kebab,4,2,TRUE,2341,Trackpad
29,21,male,1-3,kebab,5,3,TRUE,4160,Trackpad
29,21,male,1-3,kebab,10,2,FALSE,2091,Trackpad
29,21,male,1-3,kebab,1,3,TRUE,4947,Trackpad
29,21,male,1-3,kebab,7,2,TRUE,2842,Trackpad
29,21,male,1-3,kebab,3,2,TRUE,4710,Trackpad
29,21,male,1-3,kebab,8,2,FALSE,3155,Trackpad
29,21,male,1-3,kebab,6,2,TRUE,3902,Trackpad
29,21,male,1-3,kebab,9,2,TRUE,4550,Trackpad
29,21,male,1-3,camel,1,3,TRUE,5702,Trackpad
29,21,male,1-3,camel,2,4,TRUE,5391,Trackpad
29,21,male,1-3,camel,3,2,TRUE,3328,Trackpad
29,21,male,1-3,camel,4,2,TRUE,2516,Trackpad
29,21,male,1-3,camel,5,3,TRUE,4736,Trackpad
29,21,male,1-3,camel,6,2,TRUE,2489,Trackpad
29,21,male,1-3,camel,7,2,TRUE,3065,Trackpad
29,21,male,1-3,camel,8,2,TRUE,4576,Trackpad
29,21,male,1-3,camel,9,2,TRUE,2622,Trackpad
29,21,male,1-3,camel,10,2,TRUE,4727,Trackpad
207,17,female,No,kebab,10,2,TRUE,3298,Mouse
207,17,female,No,kebab,2,2,TRUE,1835,Mouse
207,17,female,No,kebab,5,2,TRUE,1449,Mouse
207,17,female,No,kebab,1,3,TRUE,2376,Mouse
207,17,female,No,kebab,3,3,TRUE,2362,Mouse
207,17,female,No,kebab,6,4,TRUE,3123,Mouse
207,17,female,No,kebab,4,2,TRUE,1758,Mouse
207,17,female,No,kebab,7,3,TRUE,3780,Mouse
207,17,female,No,kebab,9,3,TRUE,2185,Mouse
207,17,female,No,kebab,8,2,TRUE,2243,Mouse
207,17,female,No,camel,1,3,TRUE,2615,Mouse
207,17,female,No,camel,2,2,TRUE,2202,Mouse
207,17,female,No,camel,3,3,TRUE,2708,Mouse
207,17,female,No,camel,4,2,FALSE,2595,Mouse
207,17,female,No,camel,5,2,TRUE,2126,Mouse
207,17,female,No,camel,6,4,TRUE,2571,Mouse
207,17,female,No,camel,7,3,TRUE,3360,Mouse
207,17,female,No,camel,8,2,TRUE,2386,Mouse
207,17,female,No,camel,9,3,TRUE,2040,Mouse
207,17,female,No,camel,10,2,TRUE,1644,Mouse
41,21,female,No,camel,1,3,TRUE,2457,Trackpad
41,21,female,No,camel,2,2,TRUE,3374,Trackpad
41,21,female,No,camel,3,2,TRUE,4359,Trackpad
41,21,female,No,camel,4,2,TRUE,2050,Trackpad
41,21,female,No,camel,5,3,TRUE,2992,Trackpad
41,21,female,No,camel,6,2,TRUE,2277,Trackpad
41,21,female,No,camel,7,3,TRUE,2519,Trackpad
41,21,female,No,camel,8,3,TRUE,2270,Trackpad
41,21,female,No,camel,9,2,TRUE,2731,Trackpad
41,21,female,No,camel,10,2,TRUE,2502,Trackpad
41,21,female,No,kebab,9,2,TRUE,3046,Trackpad
41,21,female,No,kebab,10,2,TRUE,1558,Trackpad
41,21,female,No,kebab,8,3,TRUE,1726,Trackpad
41,21,female,No,kebab,5,3,TRUE,2023,Trackpad
41,21,female,No,kebab,4,2,TRUE,1642,Trackpad
41,21,female,No,kebab,6,2,TRUE,1780,Trackpad
41,21,female,No,kebab,2,2,TRUE,2673,Trackpad
41,21,female,No,kebab,7,3,TRUE,3605,Trackpad
41,21,female,No,kebab,1,3,TRUE,1926,Trackpad
41,21,female,No,kebab,3,2,TRUE,1719,Trackpad
42,21,male,3,kebab,6,2,TRUE,2460,Trackpad
42,21,male,3,kebab,7,2,TRUE,1369,Trackpad
42,21,male,3,kebab,8,2,TRUE,2580,Trackpad
42,21,male,3,kebab,3,2,TRUE,2005,Trackpad
42,21,male,3,kebab,9,3,TRUE,2822,Trackpad
42,21,male,3,kebab,5,2,TRUE,1636,Trackpad
42,21,male,3,kebab,2,2,TRUE,3681,Trackpad
42,21,male,3,kebab,1,3,TRUE,2386,Trackpad
42,21,male,3,kebab,4,2,TRUE,1939,Trackpad
42,21,male,3,kebab,10,2,FALSE,1252,Trackpad
42,21,male,3,camel,1,3,TRUE,3122,Trackpad
42,21,male,3,camel,2,2,TRUE,1732,Trackpad
42,21,male,3,camel,3,2,TRUE,2450,Trackpad
42,21,male,3,camel,4,2,TRUE,2175,Trackpad
42,21,male,3,camel,5,2,TRUE,1768,Trackpad
42,21,male,3,camel,6,2,FALSE,2345,Trackpad
42,21,male,3,camel,7,2,TRUE,1880,Trackpad
42,21,male,3,camel,8,2,TRUE,2691,Trackpad
42,21,male,3,camel,9,3,TRUE,3232,Trackpad
42,21,male,3,camel,10,2,TRUE,5698,Trackpad
43,21,male,1-3,kebab,5,2,TRUE,2027,Trackpad
43,21,male,1-3,kebab,4,3,TRUE,3434,Trackpad
43,21,male,1-3,kebab,6,2,FALSE,2313,Trackpad
43,21,male,1-3,kebab,8,2,TRUE,2570,Trackpad
43,21,male,1-3,kebab,2,3,TRUE,3052,Trackpad
43,21,male,1-3,kebab,9,2,TRUE,2393,Trackpad
43,21,male,1-3,kebab,1,2,TRUE,1588,Trackpad
43,21,male,1-3,kebab,3,2,TRUE,2464,Trackpad
43,21,male,1-3,kebab,10,2,FALSE,2606,Trackpad
43,21,male,1-3,kebab,7,2,TRUE,1217,Trackpad
43,21,male,1-3,camel,1,2,TRUE,2669,Trackpad
43,21,male,1-3,camel,2,3,TRUE,3605,Trackpad
43,21,male,1-3,camel,3,2,TRUE,3253,Trackpad
43,21,male,1-3,camel,4,3,TRUE,2515,Trackpad
43,21,male,1-3,camel,5,2,TRUE,3203,Trackpad
43,21,male,1-3,camel,6,2,TRUE,2800,Trackpad
43,21,male,1-3,camel,7,2,TRUE,2001,Trackpad
43,21,male,1-3,camel,8,2,TRUE,2120,Trackpad
43,21,male,1-3,camel,9,2,FALSE,2388,Trackpad
43,21,male,1-3,camel,10,2,TRUE,2430,Trackpad
44,21,male,1-3,camel,1,2,TRUE,3167,Mouse
44,21,male,1-3,camel,2,2,TRUE,2751,Mouse
44,21,male,1-3,camel,3,2,TRUE,3801,Mouse
44,21,male,1-3,camel,4,3,TRUE,4372,Mouse
44,21,male,1-3,camel,5,3,TRUE,4444,Mouse
44,21,male,1-3,camel,6,2,TRUE,3192,Mouse
44,21,male,1-3,camel,7,2,TRUE,2686,Mouse
44,21,male,1-3,camel,8,2,TRUE,3211,Mouse
44,21,male,1-3,camel,9,2,TRUE,2379,Mouse
44,21,male,1-3,camel,10,3,TRUE,5257,Mouse
44,21,male,1-3,kebab,4,3,TRUE,2733,Mouse
44,21,male,1-3,kebab,5,3,TRUE,3012,Mouse
44,21,male,1-3,kebab,1,2,TRUE,1506,Mouse
44,21,male,1-3,kebab,2,2,TRUE,1445,Mouse
44,21,male,1-3,kebab,10,3,TRUE,2398,Mouse
44,21,male,1-3,kebab,7,2,TRUE,2597,Mouse
44,21,male,1-3,kebab,3,2,TRUE,3207,Mouse
44,21,male,1-3,kebab,9,2,TRUE,3180,Mouse
44,21,male,1-3,kebab,8,2,TRUE,2427,Mouse
44,21,male,1-3,kebab,6,2,FALSE,1872,Mouse
45,26,male,3,kebab,3,2,TRUE,2800,Trackpad
45,26,male,3,kebab,6,2,TRUE,2161,Trackpad
45,26,male,3,kebab,9,2,TRUE,3023,Trackpad
45,26,male,3,kebab,5,3,TRUE,3504,Trackpad
45,26,male,3,kebab,10,3,TRUE,2605,Trackpad
45,26,male,3,kebab,8,2,TRUE,3309,Trackpad
45,26,male,3,kebab,7,2,TRUE,2535,Trackpad
45,26,male,3,kebab,4,2,TRUE,1696,Trackpad
45,26,male,3,kebab,2,3,TRUE,3251,Trackpad
45,26,male,3,kebab,1,2,TRUE,9902,Trackpad
45,26,male,3,camel,1,2,TRUE,5428,Trackpad
45,26,male,3,camel,2,3,TRUE,3720,Trackpad
